Model,Learning_Rate,Hidden_Size,Batch_Size,Pooling_Style,Acc(%),Predict_100_average_cost_time(ms)
gated_cnn,0.001,128,64,avg,84.15,14.9
gated_cnn,0.001,128,128,avg,88.24,12.200000000000001
gated_cnn,0.0001,128,64,avg,85.18,13.799999999999999
gated_cnn,0.0001,128,128,avg,87.49,11.799999999999999
fast_text,0.001,128,64,avg,85.6,1.4
fast_text,0.001,128,128,avg,86.52,1.4
fast_text,0.0001,128,64,avg,84.1,2.0
fast_text,0.0001,128,128,avg,86.1,2.1
lstm,0.001,128,64,avg,85.35000000000001,90.7
lstm,0.001,128,128,avg,84.78999999999999,96.60000000000001
lstm,0.0001,128,64,avg,89.96,93.89999999999999
lstm,0.0001,128,128,avg,87.77000000000001,67.10000000000001
gru,0.001,128,64,avg,86.1,74.39999999999999
gru,0.001,128,128,avg,83.96000000000001,84.1
gru,0.0001,128,64,avg,86.24000000000001,73.3
gru,0.0001,128,128,avg,87.52,209.60000000000002
rnn,0.001,128,64,avg,86.16,149.0
rnn,0.001,128,128,avg,85.6,118.2
rnn,0.0001,128,64,avg,86.57000000000001,146.5
rnn,0.0001,128,128,avg,85.92999999999999,123.8
cnn,0.001,128,64,avg,84.39999999999999,23.0
cnn,0.001,128,128,avg,84.85000000000001,15.6
cnn,0.0001,128,64,avg,85.32,23.7
cnn,0.0001,128,128,avg,84.54,23.599999999999998
gated_cnn,0.001,128,64,avg,86.38,52.5
gated_cnn,0.001,128,128,avg,87.91,33.5
gated_cnn,0.0001,128,64,avg,86.85000000000001,55.1
gated_cnn,0.0001,128,128,avg,87.02,32.800000000000004
stack_gated_cnn,0.001,128,64,avg,87.32,175.2
stack_gated_cnn,0.001,128,128,avg,87.29,111.19999999999999
stack_gated_cnn,0.0001,128,64,avg,90.19,166.6
stack_gated_cnn,0.0001,128,128,avg,87.13,111.19999999999999
rcnn,0.001,128,64,avg,84.28999999999999,151.79999999999998
rcnn,0.001,128,128,avg,84.21,139.0
rcnn,0.0001,128,64,avg,87.24,145.5
rcnn,0.0001,128,128,avg,85.18,130.0
bert,0.001,128,64,avg,89.57000000000001,361.09999999999997
bert,0.001,128,128,avg,79.96,1341.9
bert,0.0001,128,64,avg,87.96000000000001,1374.8
bert,0.0001,128,128,avg,81.62,814.1
bert_lstm,0.001,128,64,avg,91.24,1116.7
bert_lstm,0.001,128,128,avg,76.92999999999999,618.9
bert_lstm,0.0001,128,64,avg,82.32000000000001,1084.3
bert_lstm,0.0001,128,128,avg,84.17999999999999,937.1
bert_cnn,0.001,768,64,avg,85.52,460.0
bert_cnn,0.001,768,128,avg,82.78999999999999,318.90000000000003
bert_cnn,0.0001,768,64,avg,87.16000000000001,1378.6000000000001
bert_cnn,0.0001,768,128,avg,87.52,1329.0
bert_mid_layer,0.001,128,64,avg,84.17999999999999,1308.1000000000001
bert_mid_layer,0.001,128,128,avg,89.49000000000001,779.4
bert_mid_layer,0.0001,128,64,avg,87.63,777.9000000000001
bert_mid_layer,0.0001,128,128,avg,86.6,250.4
